gene_id	transcript_id(s)	CMT_F_A_R1	CMT_F_A_R2	CMT_F_A_R3	CMT_F_A_R4	CMT_F_A_R5	CMT_F_R1	CMT_F_R2	CMT_F_R3	CMT_F_R4	CMT_F_R5	CMT_M_A_R1	CMT_M_A_R2	CMT_M_A_R3	CMT_M_A_R4	CMT_M_A_R5	CMT_M_R1	CMT_M_R2	CMT_M_R3	CMT_M_R4	CMT_M_R5	CMT_O_A_R1	CMT_O_A_R2	CMT_O_A_R3	CMT_O_A_R4	CMT_O_A_R5	CMT_O_R1	CMT_O_R2	CMT_O_R3	CMT_O_R4	CMT_O_R5	LLC_F_A_R1	LLC_F_A_R2	LLC_F_A_R3	LLC_F_A_R4	LLC_F_A_R5	LLC_F_R1	LLC_F_R2	LLC_F_R3	LLC_F_R4	LLC_F_R5	LLC_M_A_R1	LLC_M_A_R2	LLC_M_A_R3	LLC_M_A_R4	LLC_M_A_R5	LLC_M_R1	LLC_M_R2	LLC_M_R3	LLC_M_R4	LLC_M_R5	LLC_O_A_R1	LLC_O_A_R2	LLC_O_A_R3	LLC_O_A_R4	LLC_O_A_R5	LLC_O_R1	LLC_O_R2	LLC_O_R3	LLC_O_R4	LLC_O_R5
ENSMUSG00000000001	ENSMUST00000000001	3949.00	4962.00	3430.00	4598.00	4738.00	3601.00	3146.00	4721.00	3759.00	4347.00	4504.00	3912.00	3527.00	4135.00	3458.00	4328.00	3567.00	4858.00	3512.00	3705.00	3171.00	4793.00	3074.00	4551.00	2798.00	3498.00	3969.00	3517.00	3728.00	3575.00	3735.00	3345.00	2798.00	2863.00	3923.00	3330.00	2593.00	2665.00	2834.00	3078.00	3485.00	4091.00	4684.00	2767.00	3731.00	2618.00	2972.00	3063.00	2643.00	3577.00	3210.00	3350.00	3493.00	3210.00	3295.00	3786.00	3508.00	2914.00	4032.00	2826.00
ENSMUSG00000000003	ENSMUST00000000003,ENSMUST00000114041	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000000028	ENSMUST00000000028,ENSMUST00000096990,ENSMUST00000115585,ENSMUST00000231819	216.00	230.00	235.00	299.00	285.00	418.00	367.00	521.00	455.00	548.00	590.00	566.00	414.00	531.00	432.00	478.00	381.00	594.00	372.00	396.00	198.00	321.00	178.00	307.00	133.00	387.00	458.00	372.00	447.00	332.00	806.00	725.00	574.00	636.00	854.00	637.00	540.00	550.00	556.00	519.00	862.00	832.00	1105.00	610.00	834.00	437.00	532.00	579.00	514.00	703.00	727.00	765.00	865.00	696.00	817.00	748.00	702.00	631.00	647.00	514.00
ENSMUSG00000000031	ENSMUST00000132294,ENSMUST00000136359,ENSMUST00000140716,ENSMUST00000149974,ENSMUST00000152754,ENSMUST00000228259,ENSMUST00000228514,ENSMUST00000246404,ENSMUST00000246665,ENSMUST00000247116,ENSMUST00000247195,ENSMUST00000247478,ENSMUST00000247519	37.00	34.00	31.00	77.00	42.00	1.00	15.00	4.00	8.00	8.00	31.00	22.00	26.00	33.00	26.00	6.00	1.00	8.00	6.00	4.00	30.00	44.00	20.00	34.00	15.00	5.00	6.00	9.00	7.00	7.00	40.00	40.00	17.00	18.00	16.00	7.00	6.00	1.00	8.00	11.00	20.00	25.00	25.00	7.00	7.00	11.00	17.00	16.00	9.00	5.00	33.00	33.00	29.00	37.00	43.00	10.00	19.00	8.00	3.00	2.00
ENSMUSG00000000037	ENSMUST00000019101,ENSMUST00000074802,ENSMUST00000077375,ENSMUST00000087090,ENSMUST00000101113,ENSMUST00000112345,ENSMUST00000124775,ENSMUST00000238361,ENSMUST00000238603	0.00	2.00	1.00	0.00	1.00	2.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	3.00	7.00	2.00	2.00	4.00	2.00	3.00	4.00	1.00	8.00	6.00	7.00	14.00	10.00	4.00	4.00	6.00	12.00	4.00	6.00	8.00	4.00	2.00	3.00	8.00	0.00	11.00	7.00	11.00	2.00
ENSMUSG00000000049	ENSMUST00000000049,ENSMUST00000133383,ENSMUST00000146050,ENSMUST00000152958	0.00	0.00	2.00	0.00	4.00	3.00	0.00	4.00	2.00	3.00	0.00	1.00	0.00	0.00	0.00	1.00	0.00	3.00	3.00	1.00	2.00	0.00	1.00	2.00	0.00	0.00	0.00	1.00	9.00	1.00	7.00	6.00	7.00	4.00	9.00	9.00	3.00	10.00	4.00	13.00	8.00	5.00	14.00	2.00	9.00	5.00	9.00	6.00	11.00	10.00	8.00	9.00	12.00	8.00	6.00	12.00	15.00	4.00	3.00	2.00
ENSMUSG00000000056	ENSMUST00000103015,ENSMUST00000151088,ENSMUST00000154047	719.00	978.00	619.00	717.00	936.00	548.00	486.00	711.00	627.00	662.00	748.00	656.00	635.00	742.00	556.00	647.00	527.00	642.00	525.00	483.00	649.00	844.00	620.00	999.00	646.00	503.00	498.00	474.00	548.00	448.00	299.00	273.00	255.00	263.00	288.00	119.00	100.00	97.00	84.00	91.00	374.00	390.00	422.00	296.00	410.00	102.00	101.00	140.00	109.00	160.00	338.00	349.00	336.00	314.00	321.00	128.00	141.00	106.00	114.00	89.00
ENSMUSG00000000058	ENSMUST00000000058,ENSMUST00000115459,ENSMUST00000115462	3667.00	4548.00	3047.00	4159.00	4451.00	2521.00	2432.00	3296.00	2910.00	3338.00	4087.00	3655.00	3150.00	4050.00	3299.00	2908.00	2346.00	3170.00	2411.00	2798.00	2989.00	4227.00	2558.00	4298.00	2489.00	2757.00	3304.00	2868.00	3261.00	3004.00	2355.00	2118.00	1587.00	1398.00	2310.00	2169.00	1632.00	1677.00	1936.00	1819.00	2432.00	2686.00	3289.00	1892.00	2468.00	1688.00	2035.00	2170.00	1660.00	2356.00	1861.00	1809.00	2144.00	1768.00	1842.00	2435.00	2377.00	1948.00	2754.00	1818.00
ENSMUSG00000000078	ENSMUST00000000080,ENSMUST00000221734,ENSMUST00000222857	5244.00	7104.00	4170.00	5527.00	6591.00	3627.00	3557.00	4502.00	4028.00	4791.00	5442.00	5083.00	4193.00	4838.00	4004.00	5497.00	4152.00	5915.00	4133.00	4668.00	4449.00	6636.00	4153.00	6501.00	4175.00	4835.00	5439.00	4759.00	4904.00	4921.00	4488.00	4092.00	3270.00	3511.00	4445.00	7072.00	5087.00	5202.00	6539.00	5933.00	3335.00	4064.00	4279.00	2942.00	4244.00	4956.00	5675.00	5279.00	4734.00	6312.00	3653.00	4096.00	3945.00	3656.00	3950.00	7386.00	7575.00	6285.00	8607.00	6370.00
ENSMUSG00000000085	ENSMUST00000000087,ENSMUST00000064991,ENSMUST00000106298,ENSMUST00000106301,ENSMUST00000122860,ENSMUST00000132116,ENSMUST00000133169,ENSMUST00000133290,ENSMUST00000134375,ENSMUST00000136801,ENSMUST00000144555,ENSMUST00000144862,ENSMUST00000151345,ENSMUST00000153099	221.00	280.00	214.00	193.00	261.00	256.00	176.00	273.00	214.00	307.00	272.00	300.00	252.00	258.00	224.00	294.00	232.00	335.00	233.00	225.00	164.00	271.00	210.00	296.00	151.00	221.00	225.00	223.00	244.00	218.00	83.00	82.00	54.00	90.00	94.00	187.00	133.00	157.00	157.00	161.00	92.00	97.00	134.00	65.00	102.00	165.00	222.00	187.00	149.00	191.00	96.00	93.00	93.00	84.00	94.00	230.00	217.00	195.00	219.00	184.00
