PG.ProteinAccessions,PG.Genes,control_1,control_2,control_3,control_4,control_5,control_6,control_7,control_8,control_9,control_10,tumor_11,tumor_12,tumor_13,tumor_14,tumor_15,tumor_16
P13987,CD59,828.987382359025,754.386437149322,929.413535158121,547.226399850069,734.336727873455,931.07083077043,1003.44069956051,1006.40512564174,839.086163687507,588.601660485646,1717.39632702879,1195.17545001574,950.172393796338,698.138367436049,950.772324231957,414.364741580491
P55285,CDH6,280.209325821852,375.06854708378,599.101680634962,329.096239546779,621.221834120579,718.079430938796,577.401087899738,459.374653214686,488.11669939746,439.05695007701,625.099620669332,407.30962953234,523.677281836613,370.026212337126,341.252563085744,305.853697715854
P08603,CFH,1499022.15028847,1041643.53395701,2021203.14995398,1391910.6235071,1654751.95302618,1526709.04180164,1346501.86778779,1482136.72994372,1240358.39438747,1346527.20034484,1634916.89648825,1129058.75903788,1466465.56530058,1089192.92453707,1104133.25769381,1027607.955461
P10909,CLU,757435.576820778,788994.87682942,722988.304388219,582242.547730079,627794.481774145,693358.058259811,496093.927243203,644401.845766769,916510.482320334,811738.23488181,688085.524408883,658876.681769407,1030127.28850424,702679.857604774,946305.928557683,588746.127720431
Q02487,DSC2,708.567670894475,687.615306233405,543.773424150578,639.04526576526,643.599995728009,871.446512305974,771.450027369602,844.053839144949,716.616308324133,1160.9040289215,1096.99921974061,1704.32037333369,936.945796839817,783.441074426962,884.56291004158,495.117267698216
Q16610,ECM1,36937.8798219528,26954.3830155813,27190.0799480768,25730.5182223313,18857.9974537233,19262.184753234,20767.3199461679,26552.7899352986,33172.2201627536,37955.0438487369,50361.6754025123,32370.1103831264,69631.5326125275,48132.2835420142,57380.5282992219,28171.4238120879
P02751,FN1,33136.3922994102,26189.0665717155,25803.8748178521,75883.5486132577,46060.0107999393,31624.6908162633,18575.6856958779,41853.2128530547,40565.5438825592,28710.6576894307,7772.64025064685,12097.4899027204,13829.7311351926,31903.1230298506,34737.0334656365,38102.3199073495
Q12841,FSTL1,1009.71455796026,1190.17387885607,1217.72722818494,834.212151167895,738.786128610944,918.983909804126,1763.93509544284,860.657593985251,1062.60480770451,941.903370865113,1633.40322805105,1460.47755775431,1216.87167572606,1183.83769732031,1349.6902347189,946.787171618859
P32004,L1CAM,130.197541614732,140.87627466558,215.152142232515,284.45421846994,125.7830952113,222.384568102573,110.778666955679,227.023973070953,222.67600839132,249.101674159286,109.504879433684,109.304412199239,171.409532619671,163.325809066395,176.422412060731,127.709320668887
Q92954,PRG4,9526.92858833964,4558.50396274521,6776.04630342244,12639.8786025144,8387.8083058199,7580.04571729432,3655.64742378449,8642.87753624687,6808.97855108772,9547.78930446704,13498.6970127678,7223.35856683633,5788.3258134876,4345.44181413905,7607.0627941899,2486.65440513495
P07602,PSAP,575.783421563484,1084.68244656032,987.652240071058,912.468837044187,1106.00534757257,862.182215031307,880.5735947676,798.134392762986,748.085398561739,972.585062332056,725.626711268141,380.980728678847,288.12288941013,434.704582564334,427.680237130648,643.821115063809
P02787,TF,46080.8100114672,41581.9946268807,40836.7103906875,57678.6171791156,72787.529538687,61898.5097295029,91656.1174922921,65154.5854250412,48009.8701722894,62960.4539552257,22305.6615336901,43419.7237900711,82600.3759764993,66266.4721964207,31234.2681966136,45727.8840191623
P07996,THBS1,2773.07474047408,4835.44960961192,4963.29891437064,4705.87414122244,1341.78691660571,1447.19066566931,29302.1745328711,2395.26480149075,3654.86491669319,1921.71613514699,14390.3908221063,1208.43251973196,2786.39666056482,1198.90601847423,6338.57876285017,2849.2842495702
P04004,VTN,49015.5862833198,27752.0794979252,24601.9297194468,39181.3819276034,20611.6755375156,25438.7786875917,25662.1985548345,32150.3043476339,14792.4870511557,37185.6447090605,39690.6090288166,40678.079203997,26446.1858936324,23370.6501834385,37659.4680089386,19744.076054442
